"year","age","income"
1976,50,36282
1976,51,35845
1976,52,35332
1976,53,34741
1976,54,34072
1976,55,33323
1976,56,32493
1976,57,31580
1976,58,30583
1976,59,29502
1976,60,28334
1975,20,11353
1975,21,15048
1975,22,18378
1975,23,21363
1975,24,24019
1975,25,26362
1975,26,28410
1975,27,30179
1975,28,31687
1975,29,32950
1975,30,33985
1975,31,34814
1975,32,35459
1975,33,35945
1975,34,36296
1975,35,36535
1975,36,36687
1975,37,36776
1975,38,36825
1975,39,36858
1975,40,36900
1975,41,36955
1975,42,37015
1975,43,37066
1975,44,37099
1975,45,37102
1975,46,37063
1975,47,36972
1975,48,36817
1975,49,36588
1975,50,36272
1975,51,35862
1975,52,35354
1975,53,34744
1975,54,34028
1975,55,33201
1975,56,32258
1975,57,31197
1975,58,30013
1975,59,28701
1975,60,27258
1974,20,11444
1974,21,15108
1974,22,18435
1974,23,21439
1974,24,24137
1974,25,26541
1974,26,28667
1974,27,30530
1974,28,32144
1974,29,33523
1974,30,34684
1974,31,35642
1974,32,36418
1974,33,37033
1974,34,37506
1974,35,37857
1974,36,38108
1974,37,38276
1974,38,38384
1974,39,38451
1974,40,38496
1974,41,38526
1974,42,38535
1974,43,38515
1974,44,38460
1974,45,38361
1974,46,38212
1974,47,38006
1974,48,37736
1974,49,37393
1974,50,36972
1974,51,36468
1974,52,35879
1974,53,35203
1974,54,34439
1974,55,33585
1974,56,32640
1974,57,31600
1974,58,30466
1974,59,29234
1974,60,27905
